Coefficients order=180 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   22   11       -1.1840734112       -0.9761855894
   22   12        1.0388913502       -0.4143606416
   22   13        1.4379490763       -1.4536804979
   22   14        0.6579892446        0.6281631348
   22   15        2.7435986305        0.0460292477
   22   16        0.3307886121        0.3137261938
   22   17        1.5735024758        1.6713883614
   22   18       -0.1396392211        0.4444269151
   22   19       -0.0035667451        2.5194941529
   22   20        0.0859932359        1.1723517202
   22   21        0.0867132463        1.6396982434
   22   22        0.6457318045        3.4551776837
   23    0        0.4672368894        0.0000000000
   23    1       -0.7407585804        1.5279534809
   23    2        0.6788913398        0.9569295081
   23    3       -0.8718855427        0.4924344318
   23    4       -0.0661798161        0.3604307754
   23    5       -0.4266535429       -0.9227693145
   23    6       -0.4556586076       -0.1664745449
   23    7        0.3931808820       -0.4100962808
   23    8       -0.9289680536       -0.8582774720
   23    9        0.6519221609        0.1696887297
   23   10       -0.4621914467       -1.3601215380
   23   11        0.8638049272        0.3890875522
   23   12        1.5030331105       -0.3777176288
   23   13        0.3587460777        0.4771263651
   23   14        1.1934853788        1.4485009837
   23   15       -0.3899884930        0.7487367504
   23   16       -0.7220275504        2.3011672507
   23   17       -0.7844987971        0.5064061742
   23   18       -3.3446359512        1.6852630697
   23   19       -0.3497700099       -0.7465722563
   23   20       -1.6479155488       -0.5336677312
   23   21       -0.8730696072       -0.6318745226
   23   22       -0.0366182377       -1.7819910065
   23   23       -2.8084476220       -1.5950198586
   24    0       -0.7075705898        0.0000000000
   24    1       -0.2119124215        0.9728127097
   24    2       -1.1675959394       -1.3362549989
   24    3       -0.6599211261       -0.2367070822
   24    4       -0.1474077972       -2.1256614021
   24    5       -0.8510128046       -0.7832365289
   24    6        1.4680852424       -0.7916267781
   24    7        0.3644878998       -0.9212771936
   24    8        0.8111023559        1.0065981941
   24    9        1.4130714130       -0.4166878216
   24   10       -0.1280454724        1.3455704389
   24   11        0.9010391937        0.6321953591
   24   12       -1.0303807036        0.7633264448
   24   13       -0.5109426956        1.2053391914
   24   14       -1.1198379310       -0.8097499371
   24   15       -2.0011571743        0.0383105195
   24   16       -0.2131822653       -1.0950956266
   24   17       -1.0021762667       -0.8712673980
   24   18        0.7725846208       -0.4551875146
   24   19        0.5940381319       -2.7533426843
   24   20        0.7947253804        0.0301310275
   24   21        1.5597931178       -2.6836938967
   24   22        0.8828146662       -0.5998793003
   24   23        1.6045012714       -0.5299993656
   24   24        2.1119227672       -1.4765559969
   25    0       -0.5298690128        0.0000000000
   25    1        0.5961875937       -1.3336243277
   25    2       -0.0856727117       -0.6855274691
   25    3        1.1001607918        0.0968378173
   25    4        0.3266907162       -0.6677338168
   25    5        1.3326587940        0.5577720600
   25    6        0.7879736710       -0.4482921562
   25    7        0.3155605394        1.4867411897
   25    8        0.8458413935        0.9074389313
   25    9       -1.5034952176        0.9726100763
   25   10        0.3678886925        1.0722258822
   25   11       -0.9812419930       -0.9440748966
   25   12       -1.0530930222        0.5166510794
   25   13       -0.5468246992       -1.2378733370
   25   14       -1.5047820495       -0.5448663129
   25   15        1.5832279820       -1.0658033213
   25   16        0.2877365266       -1.9771295436
